AL1 0,AT1 0,BA1 0,BE1 0,BG1 0,CH1 0,CZ1 0,DE1 0,DE1 1,DE1 2,DE1 3,DE1 4,DE1 5,DK1 0,DK2 0,EE7 0,ES1 0,ES4 0,FI2 0,FR1 0,FR1 1,FR1 2,FR1 3,FR1 4,FR5 0,GB0 0,GB0 1,GB6 0,GR1 0,HR1 0,HU1 0,IE6 0,IT1 0,IT1 1,IT3 0,LT7 0,LU1 0,LV7 0,ME1 0,MK1 0,NL1 0,NO2 0,PL1 0,PT1 0,RO1 0,RS1 0,SE2 0,SI1 0,SK1 0,XK1 0
924.0,6538.799995422363,1541.1700057983398,8912.369995117188,4722.0,6970.600028991699,6533.7499923706055,9604.08634185791,12373.910438537598,8209.963401794434,4904.983901977539,9044.13355255127,4983.199890136719,2599.031463623047,1002.1685256958008,852.3000030517578,26715.68263244629,1142.3173217773438,9879.0,7240.598205566406,6941.90950012207,17630.300872802734,10421.681198120117,19169.16641998291,174.34381103515625,27434.084442138672,10245.934860229492,1067.0613708496094,5918.650001525879,2169.9999923706055,4532.932479858398,3522.285011291504,19200.60845184326,7784.7209548950195,102.67060852050781,1208.389991760254,492.7374954223633,719.0,466.00000762939453,1028.0000076293945,12722.85750579834,16827.71002960205,16506.929969787598,6304.5,6098.0,5497.0,16420.0,1403.1800003051758,3060.0000076293945,1053.490005493164
833.0,6471.899993896484,1494.7799911499023,9169.824996948242,4467.9999923706055,6746.550003051758,6503.559997558594,9425.086616516113,12143.287063598633,8056.947128295898,4813.565414428711,8875.570137023926,4890.323623657227,2435.491386413574,939.1085968017578,810.6000061035156,25899.577919006348,1107.4220581054688,9674.700004577637,7339.604072570801,7036.831192016602,17871.372596740723,10564.184280395508,19431.280128479004,176.7277374267578,25214.63395690918,9417.026359558105,980.7348251342773,5613.050003051758,2069.9999923706055,4357.634994506836,3355.6999893188477,17801.391075134277,7217.420303344727,95.18862915039062,1109.7000122070312,496.9824981689453,663.9999847412109,445.0,1133.0,12136.319999694824,16419.560012817383,15782.589973449707,6129.0,5827.000022888184,5477.9999923706055,15635.999984741211,1307.9200057983398,2935.0,1068.1900024414062
722.0000076293945,6096.300003051758,1407.8500061035156,9291.712478637695,4151.0,6942.240005493164,6241.480010986328,8878.790283203125,11439.438606262207,7589.950843811035,4534.561836242676,8361.124900817871,4606.870994567871,2308.2823333740234,890.0576629638672,770.0,23760.06014251709,1015.9399032592773,9314.799995422363,7427.792221069336,7121.381378173828,18086.103881835938,10691.11695098877,19664.754302978516,178.85118865966797,22304.566276550293,8330.189888000488,867.5463943481445,5101.760009765625,1868.0,4139.550010681152,3147.090019226074,16030.750221252441,6499.529251098633,85.72055053710938,1033.7799758911133,478.51000213623047,621.0,434.0,1097.9999923706055,11475.565002441406,15878.130004882812,14801.139991760254,5782.5000076293945,5567.0000076293945,5530.9999923706055,15063.000022888184,1194.2600021362305,2811.0,1056.3199920654297
610.0000076293945,5808.900009155273,1255.640007019043,8825.950004577637,3938.0,6836.570007324219,5998.559997558594,8597.409469604492,11076.907371520996,7349.415077209473,4390.85546875,8096.149574279785,4460.8730392456055,2210.8006134033203,852.4693908691406,734.7999954223633,21499.708923339844,919.2911148071289,8977.399993896484,7118.07551574707,6824.441116333008,17331.967475891113,10245.329368591309,18844.79290008545,171.3936309814453,20035.187255859375,7482.634384155273,779.2778549194336,4624.610015869141,1664.0,3866.4750061035156,3014.6650161743164,14610.268074035645,5923.607070922852,78.1248779296875,975.1300048828125,457.13250732421875,589.0000076293945,407.00000762939453,996.0,11059.987480163574,15343.08000946045,13978.000007629395,5216.60001373291,5386.999984741211,5517.9999923706055,14549.000007629395,1155.270004272461,2759.0,1094.620002746582
529.0,5572.899993896484,1207.1100006103516,8445.072494506836,3823.9999771118164,7038.290016174316,6103.449989318848,8316.930465698242,10715.538070678711,7109.650245666504,4247.609672546387,7832.023536682129,4315.343002319336,2125.082794189453,819.4171981811523,712.7000122070312,19717.896186828613,843.1038284301758,8783.200019836426,6867.973991394043,6584.6567459106445,16722.989433288574,9885.348289489746,18182.660041809082,165.37152099609375,19653.616661071777,7340.12744140625,764.4364852905273,4505.31999206543,1518.000015258789,3745.0824966430664,2844.640022277832,13551.28588104248,5494.251884460449,72.46222686767578,951.3399963378906,434.35499572753906,572.0,377.99999237060547,894.0000076293945,10803.822486877441,15165.569999694824,13548.889991760254,4813.500015258789,5287.0000076293945,5243.0000076293945,14297.000007629395,1121.5299987792969,2654.0,1000.5500030517578
486.00001525878906,5480.4999923706055,1144.120002746582,8130.592491149902,3771.9999923706055,7443.730026245117,6104.799980163574,8196.103355407715,10559.864364624023,7006.3623046875,4185.90104675293,7718.241065979004,4252.650352478027,2114.8272705078125,815.4627304077148,704.8000030517578,18575.733154296875,794.2668762207031,8633.599998474121,6714.87939453125,6437.877578735352,16350.215866088867,9664.993156433105,17777.348823547363,161.68521118164062,18546.806983947754,6926.762100219727,721.3866271972656,4321.269989013672,1446.9999923706055,3606.495002746582,2581.845001220703,12973.594818115234,5260.032005310059,69.37316131591797,933.1700134277344,426.6225051879883,560.0,351.99999237060547,856.9999923706055,10597.257499694824,15151.960006713867,13335.449989318848,4465.099998474121,5233.999984741211,4867.0,14233.000053405762,1111.5600051879883,2660.0000076293945,876.7299957275391
464.0,5405.000015258789,1143.620002746582,7922.8649978637695,3810.9999923706055,7629.560028076172,6002.599990844727,8205.759704589844,10572.30558013916,7014.616943359375,4190.832717895508,7727.334403991699,4257.660682678223,2142.3245162963867,826.0654830932617,703.8000030517578,18017.598052978516,770.4019622802734,8681.500022888184,6446.552291870117,6180.619522094727,15696.859970092773,9278.779304504395,17066.964653015137,155.22425842285156,16623.64769744873,6208.5108642578125,646.5844345092773,4203.240005493164,1427.0000076293945,3572.687515258789,2413.085006713867,12846.006614685059,5208.302444458008,68.69091033935547,945.5200042724609,423.23748779296875,567.0,335.0,813.9999923706055,10526.452491760254,15135.919998168945,13273.14998626709,4253.400001525879,5254.000015258789,4606.0,14405.000022888184,1082.8100051879883,2653.0,797.4199981689453
462.00000762939453,5569.299995422363,1156.0699920654297,7907.0474853515625,3929.0,7320.550010681152,6138.909996032715,8420.7027053833,10849.23828125,7198.358955383301,4300.608062744141,7929.745475769043,4369.1865234375,2173.841697692871,838.2182922363281,725.1999893188477,18063.62979888916,772.3702011108398,8906.999984741211,6369.887413024902,6107.117210388184,15510.186889648438,9168.432472229004,16863.997703552246,153.3782730102539,15329.150451660156,5725.048980712891,596.2343826293945,4241.769989013672,1457.0000076293945,3697.664993286133,2337.5549926757812,13128.827163696289,5322.969650268555,70.2032241821289,1000.4300155639648,432.7274932861328,603.0000076293945,324.0,806.0,10653.344993591309,15136.979995727539,13678.600021362305,4143.899993896484,5339.999977111816,4460.0,14555.000015258789,1089.1599960327148,2736.0000076293945,753.0399932861328
487.0,6104.699996948242,1195.4099960327148,8169.830001831055,4249.0000076293945,7113.389984130859,6627.029998779297,8875.832542419434,11435.62784576416,7587.422454833984,4533.0512619018555,8358.339599609375,4605.336318969727,2319.6204376220703,894.4295654296875,808.8999938964844,18821.23589324951,804.7641525268555,9556.999984741211,6606.584365844727,6334.049957275391,16086.525772094727,9509.119819641113,17490.642463684082,159.0776138305664,14451.21019744873,5397.160537719727,562.0864791870117,4631.4899978637695,1575.999984741211,4016.3000106811523,2360.17000579834,14147.406394958496,5735.943794250488,75.64983367919922,1185.4800033569336,459.7649917602539,688.9999923706055,327.0,815.0,11112.002517700195,15579.770004272461,14682.0,4115.0000076293945,5495.0,4440.0,15104.0,1155.5800018310547,2901.0,731.1999969482422
559.0000076293945,6904.300003051758,1275.5500030517578,8979.017501831055,4713.9999923706055,7206.749969482422,7259.620002746582,9739.436798095703,12548.29606628418,8325.666488647461,4974.109886169434,9171.59260559082,5053.42813873291,2655.743667602539,1024.0363464355469,916.2000045776367,21332.84375,912.15625,9945.800003051758,7018.246543884277,6728.730278015137,17088.891639709473,10101.641593933105,18580.50009918213,168.98988342285156,15933.759376525879,5950.8551025390625,619.7509307861328,5158.2500076293945,1857.0,4563.440010070801,2376.465003967285,16880.629470825195,6844.10546875,90.26509094238281,1368.1299896240234,505.5800094604492,804.0,336.99999237060547,879.0,12075.054992675781,16654.17999267578,17356.050018310547,4219.9999923706055,5686.000022888184,4552.0,16317.000007629395,1232.6399993896484,3204.000015258789,763.3499984741211
